station area Latitude Longitude city
延平北路五段257巷15弄口 士林區 25.08408 121.50959 台北市
延平北路五段257巷4弄口 士林區 25.08471 121.5089 台北市
啟明學校 士林區 25.11742 121.53472 台北市
中山福國路口 士林區 25.10203 121.52561 台北市
德行公園 士林區 25.10585 121.52376 台北市
承德後港街口 士林區 25.08238 121.52309 台北市
中山北路五段698巷口 士林區 25.09765 121.52757 台北市
捷運士林站(1號出口) 士林區 25.09561 121.52552 台北市
捷運芝山站(2號出口)_1 士林區 25.10336 121.52263 台北市
銘傳大學(中山北路五段280巷口) 士林區 25.08762 121.52711 台北市
海光公園南側 士林區 25.08036 121.5084 台北市
士商路40巷口 士林區 25.09013 121.52054 台北市
劍潭郵局 士林區 25.08182 121.52431 台北市
士東路91巷口 士林區 25.11247 121.52914 台北市
美崙公園 士林區 25.09677 121.51931 台北市
臺北市立大學(忠誠路二段207巷) 士林區 25.11642 121.53743 台北市
天母東路8巷/忠誠路二段154巷口 士林區 25.11579 121.53113 台北市
美崙公園(東北側) 士林區 25.09886 121.51835 台北市
福安河濱公園 士林區 25.09646 121.49358 台北市
忠誠忠義街口(北側) 士林區 25.10566 121.52922 台北市
忠誠忠義街口(南側) 士林區 25.10519 121.52869 台北市
台北花木批發市場 文山區 25.00402 121.54074 台北市
捷運萬隆站(4號出口) 文山區 25.0027 121.53861 台北市
捷運萬隆站(1號出口) 文山區 25.00115 121.53916 台北市
萬和二號公園 文山區 25.00154 121.5364 台北市
捷運萬隆站(2號出口) 文山區 25.00144 121.53983 台北市
景仁公園 文山區 24.99621 121.54043 台北市
捷運景美站(2號出口) 文山區 24.99366 121.54124 台北市
羅斯福景隆街口 文山區 24.99898 121.5403 台北市
景福街/羅斯福路6段142巷口 文山區 24.99812 121.53663 台北市
興旺公園 文山區 25.00587 121.55012 台北市
興福國中 文山區 25.00465 121.54916 台北市
興隆路2段203巷 文山區 25.00346 121.54709 台北市
景美運動公園 文山區 25.00219 121.54454 台北市
景美醫院 文山區 24.99136 121.54008 台北市
師範大學公館校區 文山區 25.00792 121.53731 台北市
景華街128巷口 文山區 24.99543 121.54725 台北市
仙跡岩登山口(景興路) 文山區 24.99118 121.5436 台北市
國立政治大學 文山區 24.98737 121.57726 台北市
捷運動物園站 文山區 24.99873 121.57985 台北市
捷運木柵站 文山區 24.99798 121.57455 台北市
捷運萬芳社區站 文山區 24.99886 121.56769 台北市
文山運動中心 文山區 24.99676 121.5596 台北市
捷運辛亥站 文山區 25.00467 121.55684 台北市
興豐公園 文山區 24.99982 121.54761 台北市
木柵光輝路口 文山區 24.98816 121.55528 台北市
考試院 文山區 24.98747 121.54984 台北市
和興路26巷口 文山區 24.98573 121.54532 台北市
世新大學 文山區 24.98859 121.54336 台北市
一壽橋 文山區 24.97837 121.55548 台北市
臺北市立景美女中 文山區 24.98058 121.55624 台北市
永安藝文館-表演36房 文山區 24.98414 121.56907 台北市
忠順區民活動中心 文山區 24.98471 121.56332 台北市
景文中學 文山區 24.98574 121.56745 台北市
老泉街籃球場 文山區 24.97619 121.5583 台北市
文山行政中心 文山區 24.98959 121.56959 台北市
木柵公園 文山區 24.98718 121.56059 台北市
興隆公共住宅D2區 文山區 24.98814 121.56356 台北市
木新路3段95巷口 文山區 24.98088 121.56313 台北市
樟腳里公園 文山區 24.98181 121.56567 台北市
實踐國中 文山區 24.98301 121.55404 台北市
指南路3段2巷 文山區 24.98537 121.57959 台北市
萊茵公園 文山區 24.98642 121.56514 台北市
木柵社會住宅 文山區 24.98935 121.56651 台北市
秀明路一段185巷口 文山區 24.99151 121.56836 台北市
秀明路一段129巷口 文山區 24.99111 121.56703 台北市
恆光橋(老泉街) 文山區 24.97989 121.56753 台北市
萬有3號公園 文山區 24.99889 121.5433 台北市
捷運萬芳醫院站(興隆路三段115巷) 文山區 24.99939 121.55848 台北市
興得閱覽室 文山區 24.99579 121.55498 台北市
辛亥生態公園 文山區 25.00348 121.55642 台北市
博嘉運動公園 文山區 25.00079 121.57534 台北市
國立政治大學(萬壽路) 文山區 24.98841 121.57649 台北市
仙岩公園 文山區 24.99797 121.54982 台北市
政大一街口 文山區 24.98543 121.58006 台北市
文山第二行政中心 文山區 25.00115 121.55142 台北市
移民署訓練中心 文山區 24.99271 121.55865 台北市
海巡署(南側) 文山區 24.99472 121.55949 台北市
明道國小東南側 文山區 24.98695 121.56456 台北市
